,gram,03-22,03-23,03-24,03-25,03-26,03-27,03-28,03-29,03-30,03-31,04-01,04-02,04-03,04-04,04-05,04-06,04-07,04-08,04-09,04-10,04-11,04-12,04-13,04-14,04-15,04-16,04-17,04-18,04-19,04-20,04-21,04-22,04-23,04-24,04-25,sum
0,covid-19,84149.0,102828.0,106116.0,102755.0,157979.0,164737.0,145519.0,146612.0,173568.0,173364.0,179389.0,174292.0,177199.0,174849.0,173867.0,199075.0,200152.0,208922.0,213828.0,203455.0,183230.0,200990.0,239045.0,231824.0,221004.0,244020.0,219521.0,196162.0,213664.0,234472.0,259156.0,283514.0,239277.0,217742.0,213860.0,6660136.0
1,pandemia covid-19,9568.0,11633.0,12248.0,11131.0,21506.0,20541.0,15977.0,16144.0,20481.0,21017.0,22717.0,29785.0,33197.0,27010.0,25210.0,24898.0,27059.0,28837.0,25941.0,27144.0,20758.0,22190.0,28682.0,31569.0,34182.0,33023.0,26767.0,21752.0,23994.0,31475.0,36161.0,45355.0,34015.0,26665.0,22809.0,871441.0
2,cases,10803.0,11898.0,12738.0,12205.0,21489.0,21375.0,17893.0,16217.0,15730.0,14665.0,16560.0,16699.0,15165.0,16120.0,16299.0,15161.0,13989.0,16315.0,15827.0,18711.0,17397.0,18211.0,19380.0,17476.0,17785.0,17459.0,17356.0,18263.0,18980.0,20777.0,19820.0,18058.0,17247.0,15744.0,19765.0,589577.0
3,dies covid-19,5614.0,7696.0,9562.0,8679.0,12202.0,11369.0,9189.0,10862.0,12627.0,12203.0,14550.0,12216.0,12467.0,9844.0,9636.0,12376.0,12122.0,14033.0,11969.0,12426.0,10741.0,11803.0,14737.0,14715.0,14236.0,13737.0,13092.0,11006.0,10500.0,13226.0,14753.0,13713.0,14817.0,12555.0,11062.0,416335.0
4,covid-19 crisis,4144.0,6078.0,6507.0,7030.0,10582.0,9531.0,7443.0,8039.0,10455.0,10353.0,11770.0,12319.0,12144.0,8983.0,9936.0,11889.0,12633.0,13896.0,12423.0,12087.0,8876.0,10482.0,11859.0,13215.0,13423.0,14095.0,12044.0,9373.0,9268.0,14359.0,14679.0,15108.0,13796.0,11290.0,10462.0,380571.0
5,covid-19 lockdown,1294.0,2746.0,5803.0,4736.0,4769.0,8424.0,8939.0,5461.0,7715.0,6438.0,5118.0,5318.0,5762.0,5535.0,6242.0,7189.0,6977.0,7925.0,7422.0,7661.0,7592.0,7897.0,9815.0,12174.0,9639.0,10532.0,7554.0,7630.0,9841.0,12567.0,10214.0,9877.0,9438.0,7652.0,9112.0,263008.0
6,covid-19 spread,6788.0,6644.0,5978.0,7165.0,8214.0,7792.0,6466.0,6522.0,7435.0,7226.0,7806.0,8564.0,8142.0,7242.0,6405.0,7120.0,7109.0,7346.0,7431.0,7516.0,6482.0,6335.0,6994.0,7370.0,7256.0,6710.0,6614.0,6509.0,6229.0,6563.0,6373.0,6978.0,6366.0,5732.0,5371.0,242793.0
7,covid-19 outbreak,4139.0,5560.0,5557.0,5331.0,8828.0,10982.0,8040.0,6153.0,8192.0,8054.0,8652.0,8189.0,7157.0,5991.0,6176.0,6975.0,6704.0,7001.0,7488.0,8092.0,5850.0,6018.0,6783.0,7541.0,7362.0,7661.0,6839.0,5583.0,5920.0,7433.0,7084.0,6945.0,6572.0,5578.0,4830.0,241260.0
8,positive covid-19,7973.0,5247.0,5198.0,9775.0,6363.0,13483.0,8573.0,6835.0,6612.0,7550.0,6585.0,5000.0,5454.0,5872.0,10343.0,9577.0,5736.0,5587.0,4618.0,6495.0,5747.0,4966.0,7548.0,6417.0,5956.0,6842.0,5173.0,6366.0,5000.0,5375.0,5573.0,6240.0,7224.0,5302.0,6090.0,232695.0
9,covid-19 new,3007.0,3945.0,4506.0,4408.0,5156.0,5180.0,4681.0,4669.0,5256.0,5242.0,5775.0,4907.0,5738.0,6008.0,6989.0,7478.0,7382.0,6760.0,6591.0,7635.0,7047.0,7450.0,8574.0,7881.0,6969.0,8011.0,7473.0,7484.0,7284.0,8069.0,8489.0,8166.0,8193.0,8600.0,8903.0,229906.0
10,covid-19 fight,3906.0,3353.0,3962.0,3875.0,5972.0,6405.0,6731.0,6084.0,6849.0,6626.0,6906.0,6254.0,7719.0,6868.0,7847.0,7759.0,8251.0,7431.0,6665.0,6680.0,6173.0,6521.0,6868.0,9496.0,6642.0,6521.0,5633.0,6503.0,5653.0,6401.0,5358.0,5360.0,6641.0,6892.0,5087.0,221892.0
11,covid-19 via,3553.0,4016.0,4705.0,4617.0,6351.0,6386.0,5264.0,5574.0,6103.0,6239.0,6793.0,6494.0,6411.0,5881.0,5914.0,7554.0,6347.0,7276.0,6159.0,6516.0,5918.0,6634.0,7459.0,7140.0,6604.0,6853.0,6372.0,5455.0,5732.0,6124.0,7118.0,7018.0,7320.0,6730.0,6066.0,216696.0
12,covid-19 response,2603.0,3333.0,3320.0,3223.0,5872.0,5536.0,4096.0,3502.0,5189.0,5421.0,6144.0,7298.0,6729.0,4419.0,4287.0,6048.0,6211.0,6523.0,5445.0,5566.0,4049.0,6141.0,7400.0,10020.0,8151.0,6879.0,5273.0,4775.0,6242.0,6695.0,6485.0,7413.0,7820.0,5316.0,4580.0,198004.0
13,new york,2893.0,2779.0,3362.0,3938.0,5386.0,5165.0,7257.0,6466.0,6114.0,5293.0,4682.0,4701.0,5568.0,7204.0,7450.0,6589.0,5426.0,5432.0,6563.0,7997.0,5842.0,6171.0,6553.0,5385.0,5386.0,4954.0,4114.0,4602.0,4898.0,4403.0,4603.0,6683.0,7809.0,5488.0,7423.0,194579.0
